        0:0         TID   1 CPU   9(2) created
        0:0         TID   1 CPU   9(2) created
fiosExecucao =32 Intervalo=99
: tempo -> 43570.8 usecs
       10:0         TID  14 CPU   0(1) created
       10:1465569386290 TID  14 CPU   0(1) restarted on the same CPU
       10:1465569386290 TID  14 sleeping on 'cond var'
       10:1465569386290 TID  14 CPU   0(1) preempted
       10:1465569386290 TID  14 CPU   0(1) restarted on the same CPU
       49:1465569386329 TID  14 sleeping on 'cond var'
       49:1465569386329 TID  14 CPU   0(1) preempted
       49:1465569386329 TID  14 CPU   0(1) restarted on the same CPU
       49:1465569386329 TID  14 sleeping on 'cond var'
       49:1465569386329 TID  14 CPU   0(1) preempted
       59:1465569386339 TID  28  from-CPU 4(1) to-cpu 0(1) CPU migration
       59:1465569386339 TID  28 CPU   0(1) restarted on the same CPU
       10:0         TID  32 CPU   1(1) created
       10:1465569386290 TID  32 CPU   1(1) restarted on the same CPU
       10:1465569386290 TID  32 sleeping on 'cond var'
       10:1465569386290 TID  32 CPU   1(1) preempted
       10:1465569386290 TID  27  from-CPU 31(2) to-cpu 1(1) CPU migration
       10:1465569386290 TID  27 CPU   1(1) restarted on the same CPU
       49:1465569386329 TID  27 sleeping on 'cond var'
       49:1465569386329 TID  27 CPU   1(1) preempted
       10:0         TID   4 CPU   2(1) created
       10:1465569386290 TID   4 CPU   2(1) restarted on the same CPU
       10:1465569386290 TID   4 sleeping on 'cond var'
       10:1465569386290 TID   4 CPU   2(1) preempted
       10:0         TID  20 CPU   2(1) created
       10:1465569386290 TID  20 CPU   2(1) restarted on the same CPU
       10:1465569386290 TID  20 sleeping on 'cond var'
       10:1465569386290 TID  20 CPU   2(1) preempted
       10:0         TID  28 CPU   2(1) created
       10:1465569386290 TID  28 CPU   2(1) restarted on the same CPU
       10:1465569386290 TID  28 sleeping on 'cond var'
       10:1465569386290 TID  28 CPU   2(1) preempted
       10:1465569386290 TID  28 CPU   2(1) restarted on the same CPU
       10:1465569386290 TID  28 sleeping on 'cond var'
       10:1465569386290 TID  28 CPU   2(1) preempted
       10:1465569386290 TID   4 CPU   2(1) restarted on the same CPU
       29:1465569386309 TID   4 CPU   2(1) preempted
       29:1465569386309 TID   4 CPU   2(1) restarted on the same CPU
       49:1465569386329 TID   4 sleeping on 'cond var'
       49:1465569386329 TID   4 CPU   2(1) preempted
       49:1465569386329 TID   4 CPU   2(1) restarted on the same CPU
       49:1465569386329 TID   4 sleeping on 'cond var'
       49:1465569386329 TID   4 CPU   2(1) preempted
       59:1465569386339 TID   4 CPU   2(1) restarted on the same CPU
       10:1465569386290 TID  16  from-CPU 6(1) to-cpu 3(1) CPU migration
       10:1465569386290 TID  16 CPU   3(1) restarted on the same CPU
       49:1465569386329 TID  16 sleeping on 'cond var'
       49:1465569386329 TID  16 CPU   3(1) preempted
       49:1465569386329 TID  16 CPU   3(1) restarted on the same CPU
       49:1465569386329 TID  16 sleeping on 'cond var'
       49:1465569386329 TID  16 CPU   3(1) preempted
       59:1465569386339 TID  16 CPU   3(1) restarted on the same CPU
       10:0         TID  10 CPU   4(1) created
       10:1465569386290 TID  10 CPU   4(1) restarted on the same CPU
       10:1465569386290 TID  10 sleeping on 'cond var'
       10:1465569386290 TID  10 CPU   4(1) preempted
       10:0         TID  26 CPU   4(1) created
       10:1465569386290 TID  26 CPU   4(1) restarted on the same CPU
       10:1465569386290 TID  26 sleeping on 'cond var'
       10:1465569386290 TID  26 CPU   4(1) preempted
       10:1465569386290 TID  26 CPU   4(1) restarted on the same CPU
       10:1465569386290 TID  26 sleeping on 'cond var'
       10:1465569386290 TID  26 CPU   4(1) preempted
       10:1465569386290 TID  18  from-CPU 20(1) to-cpu 4(1) CPU migration
       10:1465569386290 TID  18 CPU   4(1) restarted on the same CPU
       49:1465569386329 TID  18 sleeping on 'cond var'
       49:1465569386329 TID  18 CPU   4(1) preempted
       49:1465569386329 TID  18 CPU   4(1) restarted on the same CPU
       49:1465569386329 TID  18 sleeping on 'cond var'
       49:1465569386329 TID  18 CPU   4(1) preempted
       49:1465569386329 TID  26  from-CPU 12(1) to-cpu 4(1) CPU migration
       49:1465569386329 TID  26 CPU   4(1) restarted on the same CPU
       49:1465569386329 TID  26 sleeping on 'cond var'
       49:1465569386329 TID  26 CPU   4(1) preempted
       49:1465569386329 TID  28  from-CPU 26(1) to-cpu 4(1) CPU migration
       49:1465569386329 TID  28 CPU   4(1) restarted on the same CPU
       49:1465569386329 TID  28 sleeping on 'cond var'
       49:1465569386329 TID  28 CPU   4(1) preempted
       59:1465569386339 TID  26 CPU   4(1) restarted on the same CPU
       10:1465569386290 TID  24  from-CPU 22(1) to-cpu 5(1) CPU migration
       10:1465569386290 TID  24 CPU   5(1) restarted on the same CPU
       10:1465569386290 TID  24 CPU   5(1) preempted
       10:1465569386290 TID  24 CPU   5(1) restarted on the same CPU
       49:1465569386329 TID  24 sleeping on 'cond var'
       49:1465569386329 TID  24 CPU   5(1) preempted
       49:1465569386329 TID  24 CPU   5(1) restarted on the same CPU
       49:1465569386329 TID  24 sleeping on 'cond var'
       49:1465569386329 TID  24 CPU   5(1) preempted
       59:1465569386339 TID  24 CPU   5(1) restarted on the same CPU
       10:0         TID  16 CPU   6(1) created
       10:1465569386290 TID  16 CPU   6(1) restarted on the same CPU
       10:1465569386290 TID  16 sleeping on 'cond var'
       10:1465569386290 TID  16 CPU   6(1) preempted
       10:1465569386290 TID  20  from-CPU 2(1) to-cpu 6(1) CPU migration
       10:1465569386290 TID  20 CPU   6(1) restarted on the same CPU
       49:1465569386329 TID  20 sleeping on 'cond var'
       49:1465569386329 TID  20 CPU   6(1) preempted
       49:1465569386329 TID  20 CPU   6(1) restarted on the same CPU
       49:1465569386329 TID  20 sleeping on 'cond var'
       49:1465569386329 TID  20 CPU   6(1) preempted
       59:1465569386339 TID  20 CPU   6(1) restarted on the same CPU
       10:0         TID   3 CPU   8(2) created
       10:1465569386290 TID   3 CPU   8(2) restarted on the same CPU
       10:1465569386290 TID   3 sleeping on 'cond var'
       10:1465569386290 TID   3 CPU   8(2) preempted
       10:0         TID   7 CPU   8(2) created
       10:1465569386290 TID   7 CPU   8(2) restarted on the same CPU
       10:1465569386290 TID   7 sleeping on 'cond var'
       10:1465569386290 TID   7 CPU   8(2) preempted
       10:0         TID   9 CPU   8(2) created
       10:1465569386290 TID   9 CPU   8(2) restarted on the same CPU
       10:1465569386290 TID   9 sleeping on 'cond var'
       10:1465569386290 TID   9 CPU   8(2) preempted
       10:0         TID  11 CPU   8(2) created
       10:1465569386290 TID  11 CPU   8(2) restarted on the same CPU
       10:1465569386290 TID  11 sleeping on 'cond var'
       10:1465569386290 TID  11 CPU   8(2) preempted
       10:0         TID  13 CPU   8(2) created
       10:1465569386290 TID  13 CPU   8(2) restarted on the same CPU
       10:1465569386290 TID  13 sleeping on 'cond var'
       10:1465569386290 TID  13 CPU   8(2) preempted
       10:0         TID  15 CPU   8(2) created
       10:1465569386290 TID  15 CPU   8(2) restarted on the same CPU
       10:1465569386290 TID  15 sleeping on 'cond var'
