        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
        0:0         TID   1 CPU  13(2) created
fiosExecucao =16 Intervalo=99
: tempo -> 107281 usecs
      109:1465569453909 TID   2  from-CPU 3(1) to-cpu 2(1) CPU migration
      109:1465569453909 TID   2 CPU   2(1) restarted on the same CPU
      109:1465569453909 TID   2 sleeping on 'cond var'
      109:1465569453909 TID   2 CPU   2(1) preempted
      109:1465569453909 TID   2 CPU   2(1) restarted on the same CPU
      109:1465569453909 TID   2 sleeping on 'cond var'
      109:1465569453909 TID   2 CPU   2(1) preempted
      109:1465569453909 TID   2 CPU   2(1) restarted on the same CPU
        0:0         TID   2 CPU   3(1) created
        0:1465569453800 TID   2 sleeping on 'cond var'
       10:0         TID   2 CPU   3(1) created
       10:1465569453810 TID   2 CPU   3(1) restarted on the same CPU
      109:1465569453909 TID   2 sleeping on 'cond var'
      109:1465569453909 TID   2 CPU   3(1) preempted
       10:1465569453810 TID  16  from-CPU 21(1) to-cpu 4(1) CPU migration
       10:1465569453810 TID  16 CPU   4(1) restarted on the same CPU
      109:1465569453909 TID  16 sleeping on 'cond var'
      109:1465569453909 TID  16 CPU   4(1) preempted
      109:1465569453909 TID  16 CPU   4(1) restarted on the same CPU
      109:1465569453909 TID  16 sleeping on 'cond var'
      109:1465569453909 TID  16 CPU   4(1) preempted
      109:1465569453909 TID  16 CPU   4(1) restarted on the same CPU
       10:0         TID   8 CPU   5(1) created
       10:1465569453810 TID   8 CPU   5(1) restarted on the same CPU
       10:1465569453810 TID   8 sleeping on 'cond var'
       10:1465569453810 TID   8 CPU   5(1) preempted
       10:1465569453810 TID   8 CPU   5(1) restarted on the same CPU
      109:1465569453909 TID   8 sleeping on 'cond var'
      109:1465569453909 TID   8 CPU   5(1) preempted
      109:1465569453909 TID   8 CPU   5(1) restarted on the same CPU
      109:1465569453909 TID   8 sleeping on 'cond var'
      109:1465569453909 TID   8 CPU   5(1) preempted
      109:1465569453909 TID   8 CPU   5(1) restarted on the same CPU
      109:1465569453909 TID  14  from-CPU 1(1) to-cpu 5(1) CPU migration
      109:1465569453909 TID  14 CPU   5(1) restarted on the same CPU
       10:1465569453810 TID  13  from-CPU 12(2) to-cpu 6(1) CPU migration
       10:1465569453810 TID  13 CPU   6(1) restarted on the same CPU
       89:1465569453889 TID  13 CPU   6(1) preempted
       10:0         TID  14 CPU   7(1) created
       10:1465569453810 TID  14 CPU   7(1) restarted on the same CPU
       10:1465569453810 TID  14 sleeping on 'cond var'
       10:1465569453810 TID  14 CPU   7(1) preempted
       10:1465569453810 TID  14 CPU   7(1) restarted on the same CPU
      109:1465569453909 TID  14 sleeping on 'cond var'
      109:1465569453909 TID  14 CPU   7(1) preempted
       10:1465569453810 TID  15  from-CPU 12(2) to-cpu 9(2) CPU migration
       10:1465569453810 TID  15 CPU   9(2) restarted on the same CPU
      109:1465569453909 TID  15 sleeping on 'cond var'
      109:1465569453909 TID  15 CPU   9(2) preempted
        0:0         TID   5 CPU  11(2) created
       10:1465569453810 TID   5 sleeping on 'cond var'
       10:1465569453810 TID   5 CPU  11(2) preempted
       10:1465569453810 TID   5 CPU  11(2) restarted on the same CPU
      109:1465569453909 TID   5 sleeping on 'cond var'
      109:1465569453909 TID   5 CPU  11(2) preempted
      109:1465569453909 TID   5 CPU  11(2) restarted on the same CPU
      109:1465569453909 TID   5 sleeping on 'cond var'
      109:1465569453909 TID   5 CPU  11(2) preempted
      109:1465569453909 TID   5 CPU  11(2) restarted on the same CPU
      109:1465569453909 TID   5 sleeping on 'cond var'
      109:1465569453909 TID   5 CPU  11(2) preempted
      109:1465569453909 TID   5 CPU  11(2) restarted on the same CPU
        0:0         TID   3 CPU  12(2) created
        0:1465569453800 TID   3 sleeping on 'cond var'
       10:0         TID   7 CPU  12(2) created
       10:1465569453810 TID   7 CPU  12(2) restarted on the same CPU
       10:1465569453810 TID   7 sleeping on 'cond var'
       10:1465569453810 TID   7 CPU  12(2) preempted
       10:0         TID   9 CPU  12(2) created
       10:1465569453810 TID   9 CPU  12(2) restarted on the same CPU
       10:1465569453810 TID   9 sleeping on 'cond var'
       10:1465569453810 TID   9 CPU  12(2) preempted
       10:0         TID  11 CPU  12(2) created
       10:1465569453810 TID  11 CPU  12(2) restarted on the same CPU
       10:1465569453810 TID  11 sleeping on 'cond var'
       10:1465569453810 TID  11 CPU  12(2) preempted
       10:0         TID  13 CPU  12(2) created
       10:1465569453810 TID  13 CPU  12(2) restarted on the same CPU
       10:1465569453810 TID  13 sleeping on 'cond var'
       10:1465569453810 TID  13 CPU  12(2) preempted
       10:0         TID  15 CPU  12(2) created
       10:1465569453810 TID  15 CPU  12(2) restarted on the same CPU
       10:1465569453810 TID  15 sleeping on 'cond var'
       10:1465569453810 TID  15 CPU  12(2) preempted
       10:0         TID   3 CPU  12(2) created
       10:1465569453810 TID   3 CPU  12(2) restarted on the same CPU
      109:1465569453909 TID   3 sleeping on 'cond var'
      109:1465569453909 TID   3 CPU  12(2) preempted
      109:1465569453909 TID   3 CPU  12(2) restarted on the same CPU
      109:1465569453909 TID   3 sleeping on 'cond var'
      109:1465569453909 TID   3 CPU  12(2) preempted
