        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
fiosExecucao =2 Intervalo=99
: tempo -> 195906 usecs
      210:1465569421460 TID   2  from-CPU 6(1) to-cpu 5(1) CPU migration
      210:1465569421460 TID   2 CPU   5(1) restarted on the same CPU
      210:1465569421460 TID   2 sleeping on 'cond var'
      210:1465569421460 TID   2 CPU   5(1) preempted
      210:1465569421460 TID   2 CPU   5(1) restarted on the same CPU
        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
        0:0         TID   1 CPU   8(2) created
        9:1465569421260 TID   1 sleeping on 'cond var'
        9:1465569421260 TID   1 CPU   8(2) preempted
        9:1465569421260 TID   1 CPU   8(2) restarted on the same CPU
      210:1465569421460 TID   1 sleeping on 'cond var'
      210:1465569421460 TID   1 CPU   8(2) preempted
      210:1465569421460 TID   1 CPU   8(2) restarted on the same CPU
      210:1465569421460 TID   1 sleeping on 'cond var'
      210:1465569421460 TID   1 CPU   8(2) preempted
      210:1465569421460 TID   1 CPU   8(2) restarted on the same CPU
      210:1465569421460 TID   1 sleeping on 'cond var'
      210:1465569421460 TID   1 CPU   8(2) preempted
      210:1465569421460 TID   1 CPU   8(2) restarted on the same CPU
      210:1465569421460 TID   1 sleeping on 'shuttle'
      210:1465569421460 TID   1 CPU   8(2) preempted
      210:1465569421460 TID   1 CPU   8(2) restarted on the same CPU
      210:1465569421460 TID   1 sleeping on 'shuttle'
      210:1465569421460 TID   1 CPU   8(2) preempted
      210:1465569421460 TID   1 CPU   8(2) restarted on the same CPU
      210:1465569421460 TID   1 sleeping on 'cond var'
      210:1465569421460 TID   1 CPU   8(2) preempted
      210:1465569421460 TID   1 CPU   8(2) restarted on the same CPU
        9:0         TID   2 CPU   6(1) created
        9:1465569421260 TID   2 CPU   6(1) restarted on the same CPU
        9:1465569421260 TID   2 sleeping on 'cond var'
        9:1465569421260 TID   2 CPU   6(1) preempted
        9:1465569421260 TID   2 CPU   6(1) restarted on the same CPU
      210:1465569421460 TID   2 sleeping on 'cond var'
      210:1465569421460 TID   2 CPU   6(1) preempted

